method,obc(%),obcc(%),gap(pp)
com.thoughtworks.xstream.converters.reflection.SerializableConverter.hierarchyFor,75.0,50.0,25.0
com.thoughtworks.xstream.security.RegExpTypePermission.getPatterns,75.0,50.0,25.0
com.thoughtworks.xstream.core.AbstractReferenceMarshaller.convert,92.85714,42.857143,49.999996
com.thoughtworks.xstream.io.xml.AbstractDocumentWriter.endNode,100.0,50.0,50.0
com.thoughtworks.xstream.core.util.FastStack.push,100.0,50.0,50.0
com.thoughtworks.xstream.core.util.OrderRetainingMap.put,50.0,50.0,0.0
com.thoughtworks.xstream.converters.reflection.ExternalizableConverter.canConvert,66.66667,50.0,16.666672
com.thoughtworks.xstream.io.binary.BinaryStreamReader.readToken,100.0,50.0,50.0
com.thoughtworks.xstream.mapper.ImplicitCollectionMapper.getItemTypeForItemFieldName,100.0,50.0,50.0
com.thoughtworks.xstream.converters.collections.PropertiesConverter.unmarshal,100.0,66.66667,33.33333
com.thoughtworks.xstream.converters.reflection.SunLimitedUnsafeReflectionProvider.newInstance,66.66667,50.0,16.666672
com.thoughtworks.xstream.converters.extended.ActivationDataFlavorConverter.canConvert,100.0,50.0,50.0
com.thoughtworks.xstream.io.path.Path.apply,100.0,50.0,50.0
com.thoughtworks.xstream.mapper.ClassAliasingMapper.serializedClass,100.0,16.666668,83.33333
com.thoughtworks.xstream.io.StatefulWriter.startNodeCommon,100.0,50.0,50.0
com.thoughtworks.xstream.io.StatefulWriter.setValue,100.0,50.0,50.0
com.thoughtworks.xstream.converters.collections.AbstractCollectionConverter.writeItem,100.0,50.0,50.0
com.thoughtworks.xstream.mapper.MapperWrapper.lookupMapperOfType,100.0,50.0,50.0
com.thoughtworks.xstream.converters.extended.LookAndFeelConverter.canConvert,66.66667,33.333336,33.333336
com.thoughtworks.xstream.converters.reflection.AbstractReflectionConverter.doUnmarshal,89.53488,40.697674,48.837208
com.thoughtworks.xstream.converters.reflection.AbstractReflectionConverter.doMarshal,90.47619,40.476192,49.999996
com.thoughtworks.xstream.converters.enums.EnumSetConverter.canConvert,66.66667,33.333336,33.333336
com.thoughtworks.xstream.mapper.ArrayMapper.boxedTypeName,100.0,50.0,50.0
com.thoughtworks.xstream.core.util.FastField.equals,50.0,45.0,5.0
com.thoughtworks.xstream.core.util.SerializationMembers.<init>,100.0,75.0,25.0
com.thoughtworks.xstream.io.binary.Token.readString,100.0,50.0,50.0
com.thoughtworks.xstream.converters.reflection.SerializableConverter.isSerializable,92.85714,64.28571,28.571426
com.thoughtworks.xstream.converters.reflection.FieldKey.equals,87.5,62.5,25.0
com.thoughtworks.xstream.XStream.setupDefaultImplementations,100.0,50.0,50.0
com.thoughtworks.xstream.mapper.SecurityMapper.realClass,100.0,100.0,0.0
com.thoughtworks.xstream.security.RegExpTypePermission.<init>,50.0,50.0,0.0
com.thoughtworks.xstream.converters.extended.JavaMethodConverter.canConvert,100.0,50.0,50.0
com.thoughtworks.xstream.core.util.WeakCache.get,100.0,100.0,0.0
com.thoughtworks.xstream.converters.javabean.PropertyDictionary.serializablePropertiesFor,100.0,50.0,50.0
com.thoughtworks.xstream.converters.basic.URIConverter.canConvert,100.0,50.0,50.0
com.thoughtworks.xstream.core.util.SerializationMembers.getRRMethod,93.75,31.25,62.5
com.thoughtworks.xstream.converters.basic.DateConverter.fromString,66.66667,66.66667,0.0
com.thoughtworks.xstream.io.xml.AbstractPullReader.readEvent,100.0,83.33333,16.666672
com.thoughtworks.xstream.persistence.FileStreamStrategy.unescape,100.0,8.333334,91.666664
com.thoughtworks.xstream.persistence.FileStreamStrategy.extractKey,100.0,100.0,0.0
com.thoughtworks.xstream.io.path.Path.<init>,100.0,50.0,50.0
com.thoughtworks.xstream.security.ExplicitTypePermission.<init>,50.0,50.0,0.0
com.thoughtworks.xstream.core.TreeUnmarshaller.lazilyCreateDataHolder,100.0,50.0,50.0
com.thoughtworks.xstream.io.StatefulWriter.addAttribute,100.0,50.0,50.0
com.thoughtworks.xstream.core.util.WeakCache.remove,50.0,50.0,0.0
com.thoughtworks.xstream.core.util.SelfStreamingInstanceChecker.canConvert,100.0,50.0,50.0
com.thoughtworks.xstream.core.util.WeakCache.size,100.0,100.0,0.0
com.thoughtworks.xstream.core.util.CustomObjectInputStream.getInstance,100.0,50.0,50.0
com.thoughtworks.xstream.io.xml.DomReader.reassignCurrentElement,100.0,50.0,50.0
com.thoughtworks.xstream.core.util.ObjectIdDictionary$IdWrapper.equals,50.0,50.0,0.0
com.thoughtworks.xstream.converters.reflection.PureJavaReflectionProvider.visitSerializableFields,100.0,50.0,50.0
com.thoughtworks.xstream.converters.reflection.SerializableConverter$1.defaultWriteObject,86.36364,18.181818,68.18182
com.thoughtworks.xstream.converters.collections.ArrayConverter.canConvert,75.0,75.0,0.0
com.thoughtworks.xstream.security.NullPermission.allows,100.0,100.0,0.0
com.thoughtworks.xstream.converters.enums.EnumConverter.canConvert,83.33333,50.0,33.33333
com.thoughtworks.xstream.mapper.DefaultMapper.realClass,100.0,50.0,50.0
com.thoughtworks.xstream.security.TypeHierarchyPermission.allows,50.0,50.0,0.0
com.thoughtworks.xstream.converters.collections.TreeMapConverter.unmarshal,25.0,12.5,12.5
com.thoughtworks.xstream.io.xml.AbstractPullReader.getValue,87.5,12.5,75.0
com.thoughtworks.xstream.converters.reflection.FieldDictionary.buildMap,92.85714,64.28571,28.571426
com.thoughtworks.xstream.core.util.Fields.find,50.0,50.0,0.0
com.thoughtworks.xstream.converters.reflection.ReflectionConverter.canConvert,40.0,40.0,0.0
com.thoughtworks.xstream.XStream$3.close,100.0,50.0,50.0
com.thoughtworks.xstream.security.NoTypePermission.equals,50.0,50.0,0.0
com.thoughtworks.xstream.mapper.DefaultImplementationsMapper.defaultImplementationOf,100.0,50.0,50.0
com.thoughtworks.xstream.converters.javabean.PropertyDictionary.buildMap,100.0,75.0,25.0
com.thoughtworks.xstream.security.ArrayTypePermission.allows,100.0,100.0,0.0
