method, missed_branch, covered_branch, total_branch
com.thoughtworks.xstream.converters.extended.GregorianCalendarConverter.marshal,0,0,0
com.thoughtworks.xstream.converters.extended.ISO8601GregorianCalendarConverter.<init>,1,1,2
com.thoughtworks.xstream.mapper.ImmutableTypesMapper.isReferenceable,0,2,2
com.thoughtworks.xstream.converters.extended.LocaleConverter.fromString,0,4,4
com.thoughtworks.xstream.core.util.ThreadSafePropertyEditor.<init>,1,1,2
com.thoughtworks.xstream.core.AbstractReferenceMarshaller$ReferencedImplicitElementException.<init>,0,0,0
com.thoughtworks.xstream.converters.javabean.BeanProperty.set,2,0,2
com.thoughtworks.xstream.core.util.FastField.toString,2,0,2
com.thoughtworks.xstream.security.NoPermission.<init>,0,0,0
com.thoughtworks.xstream.persistence.XmlMap.size,0,0,0
com.thoughtworks.xstream.io.AttributeNameIterator.next,0,0,0
com.thoughtworks.xstream.converters.enums.EnumSingleValueConverter.fromString,0,0,0
com.thoughtworks.xstream.converters.extended.NamedMapConverter.marshal,0,28,28
com.thoughtworks.xstream.converters.basic.ByteConverter.canConvert,1,3,4
com.thoughtworks.xstream.io.xml.SaxWriter.setFeature,6,0,6
com.thoughtworks.xstream.mapper.PackageAliasingMapper.readObject,1,1,2
com.thoughtworks.xstream.converters.extended.StackTraceElementFactory.<init>,0,0,0
com.thoughtworks.xstream.core.util.ISO8601JodaTimeConverter.<clinit>,0,0,0
com.thoughtworks.xstream.converters.extended.NamedMapConverter.getSingleValueConverter,1,5,6
com.thoughtworks.xstream.converters.reflection.AbstractReflectionConverter.marshallField,0,0,0
com.thoughtworks.xstream.converters.reflection.SunLimitedUnsafeReflectionProvider.validateFieldAccess,0,0,0
com.thoughtworks.xstream.mapper.AnnotationMapper.processAnnotations,3,5,8
com.thoughtworks.xstream.core.AbstractReferenceUnmarshaller.convert,1,21,22
com.thoughtworks.xstream.io.xml.XmlFriendlyNameCoder.decodeNode,0,0,0
com.thoughtworks.xstream.io.xml.StaxReader.<init>,0,0,0
com.thoughtworks.xstream.io.binary.ReaderDepthState.getAttributeName,1,1,2
com.thoughtworks.xstream.mapper.ImplicitCollectionMapper$ImplicitCollectionMappingImpl.getKeyFieldName,0,0,0
com.thoughtworks.xstream.io.binary.Token$MapIdToValue.<init>,0,0,0
com.thoughtworks.xstream.converters.extended.ISO8601DateConverter.<init>,0,0,0
com.thoughtworks.xstream.security.CGLIBProxyTypePermission.<clinit>,0,0,0
com.thoughtworks.xstream.core.DefaultConverterLookup.flushCache,4,0,4
com.thoughtworks.xstream.core.util.CustomObjectInputStream.readFloat,0,0,0
com.thoughtworks.xstream.io.xml.StaxWriter.addAttribute,0,0,0
com.thoughtworks.xstream.io.ReaderWrapper.getNodeName,0,0,0
com.thoughtworks.xstream.converters.extended.CharsetConverter.toString,1,1,2
com.thoughtworks.xstream.core.util.WeakCache$4.visit,0,0,0
com.thoughtworks.xstream.core.util.CustomObjectInputStream.resolveClass,2,0,2
com.thoughtworks.xstream.mapper.AnnotationMapper.processImplicitAnnotation,5,19,24
com.thoughtworks.xstream.core.util.PresortedSet.isEmpty,0,0,0
com.thoughtworks.xstream.io.xml.xppdom.XppFactory.buildDom,0,0,0
com.thoughtworks.xstream.io.xml.SaxWriter.endNode,0,4,4
com.thoughtworks.xstream.converters.collections.BitSetConverter.marshal,0,6,6
com.thoughtworks.xstream.converters.basic.URLConverter.fromString,0,0,0
com.thoughtworks.xstream.io.binary.Token.getValue,0,0,0
com.thoughtworks.xstream.io.xml.StaxDriver.getOutputFactory,0,2,2
com.thoughtworks.xstream.converters.reflection.PureJavaReflectionProvider$1.<init>,0,0,0
com.thoughtworks.xstream.converters.reflection.ExternalizableConverter$2.defaultReadObject,0,0,0
com.thoughtworks.xstream.converters.enums.EnumMapConverter.<init>,0,0,0
com.thoughtworks.xstream.persistence.AbstractFilePersistenceStrategy.get,0,0,0
com.thoughtworks.xstream.io.xml.KXml2DomDriver.<init>,0,0,0
com.thoughtworks.xstream.core.util.PresortedMap.isEmpty,0,0,0
com.thoughtworks.xstream.io.WriterWrapper.endNode,0,0,0
com.thoughtworks.xstream.converters.reflection.ExternalizableConverter$1.writeFieldsToStream,0,0,0
com.thoughtworks.xstream.core.util.CustomObjectOutputStream.getInstance,0,2,2
com.thoughtworks.xstream.converters.ErrorWritingException.addData,0,6,6
com.thoughtworks.xstream.io.naming.NoNameCoder.encodeAttribute,0,0,0
com.thoughtworks.xstream.converters.reflection.XStream12FieldKeySorter$1.<init>,0,0,0
com.thoughtworks.xstream.core.util.CustomObjectOutputStream.defaultWriteObject,0,0,0
com.thoughtworks.xstream.mapper.FieldAliasingMapper.omitField,2,0,2
com.thoughtworks.xstream.io.binary.BinaryStreamReader.appendErrors,0,0,0
com.thoughtworks.xstream.core.JVM.supportsSwing,0,0,0
com.thoughtworks.xstream.io.xml.QNameMap.<init>,0,0,0
com.thoughtworks.xstream.core.util.PresortedMap$1.getKey,0,0,0
com.thoughtworks.xstream.io.xml.AbstractXmlReader.unescapeXmlName,0,0,0
com.thoughtworks.xstream.io.binary.Token$Formatter.contructToken,1,5,6
com.thoughtworks.xstream.mapper.CGLIBMapper.serializedClass,8,0,8
com.thoughtworks.xstream.io.xml.XppReader.getAttributeCount,0,0,0
com.thoughtworks.xstream.core.util.CustomObjectOutputStream.writeDouble,0,0,0
com.thoughtworks.xstream.converters.extended.SubjectConverter.populateSet,0,2,2
com.thoughtworks.xstream.converters.collections.BitSetConverter.canConvert,0,2,2
com.thoughtworks.xstream.converters.reflection.ExternalizableConverter.readResolve,0,0,0
com.thoughtworks.xstream.io.binary.Token.equals,7,9,16
com.thoughtworks.xstream.mapper.DefaultMapper.aliasForSystemAttribute,0,0,0
com.thoughtworks.xstream.converters.collections.AbstractCollectionConverter.createCollection,0,0,0
com.thoughtworks.xstream.core.util.PresortedMap.lastKey,0,0,0
com.thoughtworks.xstream.security.ProxyTypePermission.hashCode,0,0,0
com.thoughtworks.xstream.converters.collections.SingletonMapConverter.<clinit>,0,0,0
com.thoughtworks.xstream.mapper.AbstractAttributeAliasingMapper.readResolve,1,1,2
com.thoughtworks.xstream.converters.reflection.AbstractAttributedCharacterIteratorAttributeConverter.buildAttributeMap,13,9,22
com.thoughtworks.xstream.core.util.Base64JAXBCodec.decode,0,0,0
com.thoughtworks.xstream.converters.reflection.PureJavaReflectionProvider.getFieldOrNull,0,0,0
com.thoughtworks.xstream.mapper.AnnotationMapper.defaultImplementationOf,0,4,4
com.thoughtworks.xstream.persistence.AbstractFilePersistenceStrategy$XmlMapEntriesIterator.next,0,0,0
com.thoughtworks.xstream.mapper.ElementIgnoringMapper.addElementsToIgnore,0,0,0
com.thoughtworks.xstream.core.util.CustomObjectInputStream.readUnsignedByte,0,0,0
com.thoughtworks.xstream.converters.javabean.JavaBeanConverter$1.visit,0,2,2
com.thoughtworks.xstream.io.xml.XomDriver.createWriter,0,0,0
com.thoughtworks.xstream.io.xml.JDomReader.getChildCount,0,0,0
com.thoughtworks.xstream.core.util.CustomObjectInputStream.skip,0,0,0
com.thoughtworks.xstream.io.binary.Token.hashCode,2,0,2
com.thoughtworks.xstream.security.ExplicitTypePermission.allows,0,2,2
com.thoughtworks.xstream.converters.extended.EncodedByteArrayConverter.toString,0,0,0
com.thoughtworks.xstream.converters.collections.TreeMapConverter.<clinit>,0,0,0
com.thoughtworks.xstream.core.util.PresortedSet.comparator,0,0,0
com.thoughtworks.xstream.converters.extended.FontConverter.marshal,1,7,8
com.thoughtworks.xstream.io.xml.JDom2Writer.top,0,0,0
com.thoughtworks.xstream.core.util.CustomObjectInputStream$CustomGetField.defaulted,0,2,2
com.thoughtworks.xstream.io.xml.JDomWriter.<init>,0,0,0
com.thoughtworks.xstream.io.xml.DomWriter.addAttribute,0,0,0
com.thoughtworks.xstream.mapper.LocalConversionMapper.<init>,0,0,0
com.thoughtworks.xstream.converters.reflection.CGLIBEnhancedConverter.marshal,24,0,24
com.thoughtworks.xstream.converters.collections.TreeSetConverter.marshal,0,0,0
com.thoughtworks.xstream.mapper.ArrayMapper.realClass,0,8,8
com.thoughtworks.xstream.core.JVM.getBase64Codec,0,0,0
com.thoughtworks.xstream.io.xml.XppDomReader.getParent,0,0,0
com.thoughtworks.xstream.XStream.setupImmutableTypes,8,10,18
com.thoughtworks.xstream.core.JVM.loadClass,0,0,0
com.thoughtworks.xstream.mapper.XStream11XmlFriendlyMapper.realMember,0,0,0
com.thoughtworks.xstream.converters.reflection.FieldUtil14.<init>,0,0,0
com.thoughtworks.xstream.security.ProxyTypePermission.<clinit>,0,0,0
com.thoughtworks.xstream.core.TreeUnmarshaller.keys,0,0,0
com.thoughtworks.xstream.security.AnyTypePermission.<clinit>,0,0,0
com.thoughtworks.xstream.mapper.SystemAttributeAliasingMapper.<init>,0,0,0
com.thoughtworks.xstream.XStream.useXStream11XmlFriendlyMapper,0,0,0
com.thoughtworks.xstream.persistence.FilePersistenceStrategy.isValid,2,2,4
com.thoughtworks.xstream.io.json.JsonWriter$Format.getNewLine,0,0,0
com.thoughtworks.xstream.io.binary.BinaryStreamWriter$IdRegistry.getId,0,2,2
com.thoughtworks.xstream.core.TreeUnmarshaller.get,0,0,0
com.thoughtworks.xstream.io.binary.BinaryStreamWriter.<init>,0,0,0
com.thoughtworks.xstream.converters.javabean.JavaBeanConverter$1.writeField,1,3,4
com.thoughtworks.xstream.converters.reflection.PureJavaReflectionProvider.<init>,0,0,0
com.thoughtworks.xstream.XStream.registerConverter,2,2,4
com.thoughtworks.xstream.converters.extended.UseAttributeForEnumMapper.createEnumMapper,0,0,0
com.thoughtworks.xstream.converters.basic.LongConverter.canConvert,1,3,4
com.thoughtworks.xstream.io.xml.DomDriver.createWriter,2,0,2
com.thoughtworks.xstream.io.AbstractWriter.<init>,0,0,0
com.thoughtworks.xstream.persistence.XmlSet.size,0,0,0
com.thoughtworks.xstream.XStream$4.registerValidation,0,0,0
com.thoughtworks.xstream.converters.reflection.AbstractReflectionConverter$1.visit,2,14,16
com.thoughtworks.xstream.core.util.CustomObjectOutputStream.writeUTF,0,0,0
com.thoughtworks.xstream.mapper.AbstractXmlFriendlyMapper.<init>,0,0,0
com.thoughtworks.xstream.mapper.XStream11XmlFriendlyMapper.realClass,0,0,0
com.thoughtworks.xstream.core.util.PresortedMap$1.setValue,0,0,0
com.thoughtworks.xstream.io.ReaderWrapper.underlyingReader,0,0,0
com.thoughtworks.xstream.converters.collections.SingletonMapConverter.canConvert,0,2,2
com.thoughtworks.xstream.core.util.SerializationMembers.callWriteObject,1,1,2
com.thoughtworks.xstream.converters.basic.StringBuilderConverter.<init>,0,0,0
com.thoughtworks.xstream.persistence.AbstractFilePersistenceStrategy$XmlMapEntriesIterator$1.getKey,0,0,0
com.thoughtworks.xstream.converters.reflection.SerializableConverter.marshalUnserializableParent,0,0,0
com.thoughtworks.xstream.io.path.Path.<clinit>,0,0,0
com.thoughtworks.xstream.mapper.FieldAliasingMapper.serializedMember,0,2,2
com.thoughtworks.xstream.mapper.AttributeMapper.setConverterLookup,0,0,0
com.thoughtworks.xstream.converters.extended.DynamicProxyConverter$Reflections$1.invoke,0,0,0
com.thoughtworks.xstream.converters.extended.DurationConverter.canConvert,3,3,6
com.thoughtworks.xstream.io.json.JsonWriter$Format.getNameCoder,0,0,0
com.thoughtworks.xstream.io.xml.XmlFriendlyNameCoder.readResolve,0,0,0
com.thoughtworks.xstream.converters.extended.SqlTimeConverter.<init>,0,0,0
com.thoughtworks.xstream.io.naming.NameCoderWrapper.encodeNode,0,0,0
com.thoughtworks.xstream.io.json.JsonWriter$Format.<init>,0,0,0
