method,missed_stmt,covered_stmt,total_stmts
com.thoughtworks.xstream.converters.reflection.SunLimitedUnsafeReflectionProvider.validateFieldAccess,0,0,0
com.thoughtworks.xstream.converters.propertyDefinedInClass,1,0,1
com.thoughtworks.xstream.mapper.AnnotationMapper.processAnnotations,8,4,12
com.thoughtworks.xstream.core.AbstractReferenceUnmarshaller.convert,8,22,30
com.thoughtworks.xstream.io.xml.XmlFriendlyNameCoder.decodeNode,0,1,1
com.thoughtworks.xstream.io.xml.StaxReader.<init>,6,0,6
com.thoughtworks.xstream.converters.time.PeriodConverter.canConvert,1,0,1
com.thoughtworks.xstream.io.binary.ReaderDepthState.getAttributeName,4,0,4
com.thoughtworks.xstream.converters.time.SystemClockConverter.unmarshal,4,0,4
com.thoughtworks.xstream.mapper.DefaultMapper.<clinit>, line 32,0,3,3
com.thoughtworks.xstream.converters.time.LocalDateTimeConverter.<clinit>, line 33,1,0,1
com.thoughtworks.xstream.core.DefaultConverterLookup.flushCache,6,0,6
com.thoughtworks.xstream.core.util.CustomObjectInputStream.readFloat,1,0,1
com.thoughtworks.xstream.io.xml.StaxWriter.addAttribute,3,0,3
com.thoughtworks.xstream.io.ReaderWrapper.getNodeName,0,1,1
com.thoughtworks.xstream.converters.extended.CharsetConverter.toString,1,0,1
com.thoughtworks.xstream.persistence.AbstractFilePersistenceStrategy.getKey,1,0,1
com.thoughtworks.xstream.core.util.CustomObjectInputStream.resolveClass,4,0,4
com.thoughtworks.xstream.mapper.AnnotationMapper.processImplicitAnnotation,18,2,20
com.thoughtworks.xstream.core.util.PresortedSet.isEmpty,1,0,1
com.thoughtworks.xstream.io.xml.xppdom.XppFactory.buildDom,7,0,7
com.thoughtworks.xstream.io.xml.SaxWriter.endNode,8,0,8
com.thoughtworks.xstream.core.util.ThreadSafeSimpleDateFormat.newInstance,0,3,3
com.thoughtworks.xstream.converters.collections.BitSetConverter.marshal,0,10,10
com.thoughtworks.xstream.converters.basic.URLConverter.fromString,1,2,3
com.thoughtworks.xstream.io.binary.Token.getValue,0,1,1
com.thoughtworks.xstream.io.xml.StaxDriver.getOutputFactory,3,0,3
com.thoughtworks.xstream.converters.time.OffsetTimeConverter.canConvert,1,0,1
com.thoughtworks.xstream.converters.enums.EnumMapConverter.<init>,0,1,1
com.thoughtworks.xstream.io.xml.KXml2DomDriver.<init>,2,0,2
com.thoughtworks.xstream.persistence.AbstractFilePersistenceStrategy.get,1,0,1
com.thoughtworks.xstream.core.util.PresortedMap.isEmpty,1,0,1
